hour,month,weekday,year,grupo
0,1,5,2005,1
1,12,5,2005,2
2,12,5,2005,2
3,12,5,2005,1
4,12,5,2005,1
5,12,5,2005,1
6,12,5,2005,1
7,12,5,2005,2
8,12,5,2005,2
9,12,5,2005,2
10,12,5,2005,2
11,12,5,2005,3
12,12,5,2005,3
13,12,5,2005,2
14,12,5,2005,2
15,12,5,2005,2
16,12,5,2005,2
17,12,5,2005,2
18,12,5,2005,3
19,12,5,2005,3
20,12,5,2005,3
21,12,5,2005,3
22,12,5,2005,2
23,12,5,2005,2
0,1,6,2006,2
1,12,4,2005,2
2,12,4,2005,2
3,12,4,2005,2
4,12,4,2005,2
5,12,4,2005,2
6,12,4,2005,2
7,12,4,2005,2
8,12,4,2005,3
9,12,4,2005,3
10,12,4,2005,3
11,12,4,2005,3
12,12,4,2005,3
13,12,4,2005,3
14,12,4,2005,3
15,12,4,2005,3
16,12,4,2005,3
17,12,4,2005,3
18,12,4,2005,3
19,12,4,2005,3
20,12,4,2005,3
21,12,4,2005,3
22,12,4,2005,3
23,12,4,2005,3
0,12,5,2005,2
1,12,3,2005,1
2,12,3,2005,1
3,12,3,2005,1
4,12,3,2005,1
5,12,3,2005,1
6,12,3,2005,2
7,12,3,2005,2
8,12,3,2005,3
9,12,3,2005,3
10,12,3,2005,3
11,12,3,2005,3
12,12,3,2005,3
13,12,3,2005,3
14,12,3,2005,3
15,12,3,2005,3
16,12,3,2005,3
17,12,3,2005,3
18,12,3,2005,4
19,12,3,2005,4
20,12,3,2005,4
21,12,3,2005,4
22,12,3,2005,3
23,12,3,2005,3
0,12,4,2005,2
1,12,2,2005,2
2,12,2,2005,2
3,12,2,2005,2
4,12,2,2005,2
5,12,2,2005,2
6,12,2,2005,2
7,12,2,2005,3
8,12,2,2005,3
9,12,2,2005,3
10,12,2,2005,3
11,12,2,2005,3
12,12,2,2005,3
13,12,2,2005,3
14,12,2,2005,3
15,12,2,2005,2
16,12,2,2005,2
17,12,2,2005,3
18,12,2,2005,3
19,12,2,2005,3
20,12,2,2005,3
21,12,2,2005,3
22,12,2,2005,3
23,12,2,2005,2
0,12,3,2005,2
1,12,1,2005,2
2,12,1,2005,2
3,12,1,2005,2
4,12,1,2005,2
5,12,1,2005,2
6,12,1,2005,2
7,12,1,2005,3
8,12,1,2005,3
9,12,1,2005,3
10,12,1,2005,4
11,12,1,2005,4
12,12,1,2005,3
13,12,1,2005,3
14,12,1,2005,3
15,12,1,2005,3
16,12,1,2005,3
17,12,1,2005,3
18,12,1,2005,3
19,12,1,2005,4
20,12,1,2005,4
21,12,1,2005,4
22,12,1,2005,3
23,12,1,2005,3
0,12,2,2005,2
1,12,0,2005,1
2,12,0,2005,1
3,12,0,2005,1
4,12,0,2005,1
5,12,0,2005,1
6,12,0,2005,2
7,12,0,2005,2
8,12,0,2005,2
9,12,0,2005,2
10,12,0,2005,3
11,12,0,2005,3
12,12,0,2005,3
13,12,0,2005,3
14,12,0,2005,3
15,12,0,2005,3
16,12,0,2005,3
